id,price,property_type,room_type,availability_365,calculated_host_listings_count,host_response_time,host_response_rate,number_of_reviews,review_scores_rating,reviews_per_month,neighbourhood_cleansed,latitude,longitude
1002269849703957666,,Entire rental unit,Entire home/apt,351,6,within an hour,100,51,4.82,2.22,Élysée,48.8736905535086,2.303029599049661
1002821788230469550,,Entire rental unit,Entire home/apt,89,1,,,0,,,Élysée,48.87643932107329,2.31753636435965
1001232776784508975,,Entire rental unit,Entire home/apt,339,9,within an hour,100,92,4.99,3.99,Élysée,48.8719027,2.3229807
1004294135938150493,,Room in hotel,Private room,0,7,,,0,,,Élysée,48.871258,2.2981691
1001866935188273365,,Private room in rental unit,Private room,83,1,a few days or more,0,2,5.0,0.09,Élysée,48.88041,2.32595
1004778253073913352,,Room in hotel,Private room,0,6,a few days or more,0,0,,,Élysée,48.8717146,2.3261812
1003599537644152960,,Entire rental unit,Entire home/apt,257,1,,,0,,,Élysée,48.8757,2.32565
1004929857362002851,,Room in boutique hotel,Private room,0,6,,,0,,,Élysée,48.8712937,2.2983475
1008708683137971277,,Entire rental unit,Entire home/apt,232,34,within an hour,100,2,3.0,0.15,Élysée,48.8796520361894,2.31863722577402
1005762461101659822,,Entire rental unit,Entire home/apt,301,2,within an hour,100,49,4.96,2.35,Élysée,48.8709029,2.3081514
1005873863853480513,,Entire rental unit,Entire home/apt,247,1,a few days or more,30,47,4.7,2.04,Élysée,48.88103545725649,2.317453819389212
1006006558861169063,,Private room in condo,Private room,353,8,within an hour,100,0,,,Élysée,48.87160348296756,2.299907384887772
1006051154415144822,,Private room in condo,Private room,272,8,within an hour,100,0,,,Élysée,48.87118,2.3016
1006058828311188822,,Private room in condo,Private room,269,8,within an hour,100,0,,,Élysée,48.870241989152746,2.2997593321990157
1006148412416043397,,Entire condo,Entire home/apt,353,8,within an hour,100,0,,,Élysée,48.87007550357019,2.299818059797792
1009118964193816022,,Entire rental unit,Entire home/apt,157,23,within an hour,100,2,5.0,0.2,Élysée,48.87811,2.32627
1009310059681330533,,Entire rental unit,Entire home/apt,201,6,within an hour,100,36,4.69,2.13,Élysée,48.8731316,2.3107432
1010977546029926854,,Private room in rental unit,Private room,81,1,within an hour,100,50,4.92,2.34,Élysée,48.87187033399693,2.3102439069891565
